7.977659106254577637e-01,2.616254687309265137e-01
4.859414696693420410e-01,8.273172974586486816e-01
1.981881856918334961e-01,5.649135112762451172e-01
4.079542160034179688e-01,2.377443909645080566e-01
5.609987378120422363e-01,6.304816603660583496e-01
6.140337586402893066e-01,8.115867972373962402e-01
2.999885380268096924e-01,4.164386987686157227e-01
6.769157648086547852e-01,3.231757581233978271e-01
5.753662586212158203e-01,3.632085621356964111e-01
7.963894009590148926e-01,5.138160586357116699e-01
3.106221258640289307e-01,6.456499695777893066e-01
3.693509697914123535e-01,3.849156796932220459e-01
3.099676966667175293e-01,4.976000785827636719e-01
3.953422009944915771e-01,7.642974257469177246e-01
4.640506803989410400e-01,3.238604664802551270e-01
4.098517298698425293e-01,3.564658761024475098e-01
2.602152526378631592e-01,5.485811233520507812e-01
7.067075371742248535e-01,6.735662221908569336e-01
7.113796472549438477e-01,6.146822571754455566e-01
6.593845486640930176e-01,7.462341189384460449e-01
4.095749557018280029e-01,2.913713753223419189e-01
7.417127490043640137e-01,5.639829635620117188e-01
8.062000870704650879e-01,3.843256235122680664e-01
5.184071660041809082e-01,3.470173180103302002e-01
3.324380218982696533e-01,3.938570916652679443e-01
4.396007657051086426e-01,2.830651700496673584e-01
7.419828176498413086e-01,2.848390936851501465e-01
4.372723400592803955e-01,7.921981811523437500e-01
4.232138097286224365e-01,2.595990598201751709e-01
6.272014975547790527e-01,3.470861315727233887e-01
2.292017191648483276e-01,5.567473173141479492e-01
