1.300590634346008301e-01,1.273620873689651489e-01,3.113592863082885742e-01,5.069051980972290039e-01,3.713959455490112305e-01,5.344652533531188965e-01,8.360559344291687012e-01,5.176320672035217285e-01
9.105816483497619629e-02,2.386004626750946045e-01,5.322580933570861816e-01,4.463751018047332764e-01,2.772765159606933594e-01,3.916723132133483887e-01,5.534882098436355591e-02,5.415528416633605957e-01
3.823547437787055969e-02,2.756360173225402832e-01,3.206308782100677490e-01,5.666298866271972656e-01,3.611584901809692383e-01,4.064965248107910156e-01,7.844389975070953369e-02,7.851909995079040527e-01
2.502371370792388916e-01,8.377783000469207764e-02,2.768653631210327148e-01,5.383438467979431152e-01,3.131658434867858887e-01,4.908591806888580322e-01,4.424494504928588867e-01,5.981802344322204590e-01
4.309991896152496338e-01,3.607612252235412598e-01,9.841073751449584961e-01,5.087565779685974121e-01,9.777775406837463379e-01,8.419519066810607910e-01,6.780087947845458984e-01,5.440310835838317871e-01
5.305026471614837646e-02,3.228980898857116699e-01,4.295279383659362793e-01,4.037363529205322266e-01,3.550679981708526611e-01,6.047092080116271973e-01,8.324404358863830566e-01,6.951205134391784668e-01
9.175141155719757080e-02,5.650889500975608826e-02,3.705520331859588623e-01,5.431137084960937500e-01,2.895028293132781982e-01,6.117994785308837891e-01,8.802179098129272461e-01,5.897363424301147461e-01
2.114435136318206787e-01,1.758857220411300659e-01,3.271379470825195312e-01,5.083867311477661133e-01,3.896888494491577148e-01,6.168471574783325195e-01,8.352701067924499512e-01,8.382740616798400879e-01
1.694992333650588989e-01,5.169022083282470703e-02,3.842479884624481201e-01,5.616243481636047363e-01,2.700427472591400146e-01,6.319841146469116211e-01,8.799070119857788086e-01,6.111314892768859863e-01
1.042996197938919067e-01,4.178036749362945557e-02,3.268063962459564209e-01,5.030757188796997070e-01,3.483415246009826660e-01,6.571077704429626465e-01,8.506224751472473145e-01,5.781971812248229980e-01
3.421175479888916016e-02,1.869875788688659668e-01,3.599644303321838379e-01,4.674524962902069092e-01,3.117460012435913086e-01,5.761120319366455078e-01,8.692739009857177734e-01,8.117829561233520508e-01
1.519543826580047607e-01,5.618787184357643127e-02,4.050067663192749023e-01,6.071927547454833984e-01,3.291091024875640869e-01,6.499796509742736816e-01,5.015419125556945801e-01,9.932497739791870117e-01
1.563452929258346558e-02,2.047337293624877930e-01,3.287314474582672119e-01,5.189766287803649902e-01,2.925279438495635986e-01,6.549497842788696289e-01,8.871175050735473633e-01,7.653482556343078613e-01
